Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,DATE
,,,,,,,,,,
1/23/2017,7:50,843727,924162,-9.11,148,23,0,100,,1/23/17 7:50
1/23/2017,7:55,844034,920564,-8.68,148,23,0,100,3273,1/23/17 7:55
1/23/2017,8:00,844221,916627,-8.23,149,23,0,100,3437,1/23/17 8:00
1/23/2017,8:05,844347,912234,-7.73,149,22,0,100,3776,1/23/17 8:05
1/23/2017,8:10,844563,907728,-7.21,149,22,0,100,3970,1/23/17 8:10
1/23/2017,8:15,844625,903032,-6.69,148,22,0,100,4038,1/23/17 8:15
1/23/2017,8:20,844674,898464,-6.17,148,22,0,100,3937,1/23/17 8:20
1/23/2017,8:25,844726,893841,-5.65,148,22,0,100,4007,1/23/17 8:25
1/23/2017,8:30,844702,889381,-5.15,149,22,0,100,3792,1/23/17 8:30
1/23/2017,8:35,844850,884649,-4.6,149,22,0,100,4201,1/23/17 8:35
1/23/2017,8:40,845030,879683,-4.02,149,21,0,100,4454,1/23/17 8:40
1/23/2017,8:45,846129,873857,-3.22,149,19,0,100,6057,1/23/17 8:45
1/23/2017,8:50,847181,868164,-2.45,149,19,0,100,5931,1/23/17 8:50
1/23/2017,8:55,846710,861161,-1.69,149,22,0,100,5751,1/23/17 8:55
1/23/2017,9:00,839742,847951,-0.97,148,24,0,100,5523,1/23/17 9:00
1/23/2017,9:05,840019,842248,-0.26,149,24,0,100,5396,1/23/17 9:05
1/23/2017,9:10,840304,836338,0.47,148,24,0,100,5665,1/23/17 9:10
1/23/2017,9:15,840446,830082,1.24,148,24,0,100,5893,1/23/17 9:15
1/23/2017,9:20,840591,823787,2.02,150,24,0,100,5896,1/23/17 9:20
1/23/2017,9:25,840826,817672,2.79,149,23,0,100,5894,1/23/17 9:25
1/23/2017,9:30,841245,811614,3.59,148,22,0,100,6090,1/23/17 9:30
1/23/2017,9:35,841429,805329,4.39,149,22,0,100,6094,1/23/17 9:35
1/23/2017,9:40,841537,798937,5.19,148,22,0,100,6215,1/23/17 9:40
1/23/2017,9:45,841675,792456,6.03,149,21,0,100,6335,1/23/17 9:45
1/23/2017,9:50,841796,785771,6.89,148,21,0,100,6613,1/23/17 9:50
1/23/2017,9:55,841872,779474,7.7,149,21,0,100,6203,1/23/17 9:55
1/23/2017,10:00,841948,773240,8.51,148,20,0,100,6233,1/23/17 10:00
1/23/2017,10:05,842077,766961,9.34,149,20,0,100,6333,1/23/17 10:05
