Date (UTC)	Temp	RH	Pressure	NO2	O3	COV	PMP	Latitude	Longitude	Altitude	GPS Date
2017-09-21 07:32:34	18036	50014	1016954	NA	NA	54408	NA	No signal	No signal	No signal	23:59:49
2017-09-21 07:33:31	17965	48988	101696	4143	0	51127	8973	No signal	No signal	No signal	23:59:49
2017-09-21 07:34:32	17884	49216	1017031	30127	5598	50033	1166	No signal	No signal	No signal	23:59:49
2017-09-21 07:35:31	17687	49184	1017145	30127	5598	47845	1166	No signal	No signal	No signal	23:59:49
2017-09-21 07:36:31	17455	4952	1017226	30127	5598	47845	1166	No signal	No signal	No signal	23:59:49
2017-09-21 07:37:31	17312	49935	10173	30127	5598	47845	1166	No signal	No signal	No signal	23:59:49
2017-09-21 07:38:31	1741	50069	1017284	30127	5598	50033	1166	No signal	No signal	No signal	23:59:49
2017-09-21 07:39:32	1733	50096	1017283	26326	3732	49486	7854	No signal	No signal	No signal	23:59:49
2017-09-21 07:40:31	17151	50783	1017307	26326	3732	70815	7854	No signal	No signal	No signal	23:59:49
2017-09-21 07:41:31	16999	5199	101736	26326	3732	52767	7854	No signal	No signal	No signal	23:59:49
2017-09-21 07:42:32	16963	51895	1017359	31188	2799	54408	9002	No signal	No signal	No signal	23:59:49
2017-09-21 07:43:30	17356	51592	101741	31188	2799	53096	9002	No signal	No signal	No signal	23:59:49
2017-09-21 07:44:30	17714	50498	1017371	31188	2799	54408	9002	No signal	No signal	No signal	23:59:49
2017-09-21 07:45:30	17669	49765	1017317	31188	2799	55721	9002	No signal	No signal	No signal	23:59:49
2017-09-21 07:46:30	17705	50295	1017316	31188	2799	53096	9002	No signal	No signal	No signal	23:59:49
2017-09-21 07:47:30	17759	50236	1017308	31188	2799	54408	9002	No signal	No signal	No signal	23:59:49
2017-09-21 07:48:30	17804	50481	1017304	31188	2799	56596	9011	No signal	No signal	No signal	23:59:49
2017-09-21 07:49:30	17857	50431	1017338	51299	2239	5933	6602	No signal	No signal	No signal	23:59:49
2017-09-21 07:50:31	17893	5022	1017317	64708	1866	59659	7349	No signal	No signal	No signal	23:59:49
2017-09-21 07:51:30	18	50216	1017316	50619	0589	62284	16498	No signal	No signal	No signal	23:59:49
2017-09-21 07:52:35	17848	49025	1017274	50619	0589	63315	17394	No signal	No signal	No signal	23:59:49
2017-09-21 07:53:31	17705	49458	1017255	50619	0589	6501	17999	No signal	No signal	No signal	23:59:49
2017-09-21 07:54:31	17562	4935	1017063	50619	0589	65893	19478	No signal	No signal	No signal	23:59:49
2017-09-21 07:55:33	17473	49864	1016946	48215	0415	57033	18877	No signal	No signal	No signal	23:59:49
2017-09-21 07:56:31	17383	50098	1016978	48215	0415	57221	18047	No signal	No signal	No signal	23:59:49
2017-09-21 07:57:32	17294	50298	1017059	49208	0487	57437	18635	No signal	No signal	No signal	23:59:49
2017-09-21 07:58:33	17142	50432	1017016	4813	04	56932	17538	No signal	No signal	No signal	23:59:49
2017-09-21 07:59:32	17097	50545	10171	48049	0386	56428	16352	No signal	No signal	No signal	23:59:49
2017-09-21 08:00:31	16999	50943	1017129	48049	0386	55502	15232	No signal	No signal	No signal	23:59:49
2017-09-21 08:01:34	16882	51103	1017193	46656	0329	53971	14025	No signal	No signal	No signal	00:00:32
2017-09-21 08:02:30	16829	51249	1017208	46656	0329	53002	1428	No signal	No signal	No signal	23:59:49
2017-09-21 08:03:30	16685	51672	101726	47817	0373	54408	15827	No signal	No signal	No signal	23:59:49
2017-09-21 08:04:30	16578	5186	1017148	48925	0	52221	1697	No signal	No signal	No signal	23:59:49
2017-09-21 08:05:30	16587	51635	1016948	50041	0	51947	17585	No signal	No signal	No signal	23:59:49
2017-09-21 08:06:30	16399	53017	1016896	49607	0	52022	12516	No signal	No signal	No signal	23:59:49
2017-09-21 08:07:32	16274	52643	1016807	50672	0	51783	11261	No signal	No signal	No signal	23:59:49
2017-09-21 08:08:31	16229	53096	101683	51406	0	51425	9502	No signal	No signal	No signal	23:59:49
2017-09-21 08:09:30	16462	52254	1016972	52533	0	51783	9797	No signal	No signal	No signal	23:59:49
2017-09-21 08:10:30	16605	52275	1016986	52773	0	51783	6335	No signal	No signal	No signal	23:59:49
2017-09-21 08:11:30	16685	51978	1017006	53032	0	51783	6335	No signal	No signal	No signal	23:59:49
2017-09-21 08:12:30	16784	51649	1017029	53311	0	51491	6335	No signal	No signal	No signal	23:59:49
2017-09-21 08:13:30	16891	51601	1017008	53974	0	51947	6907	No signal	No signal	No signal	23:59:49
2017-09-21 08:14:30	16981	51402	1017033	5469	0	51596	7105	No signal	No signal	No signal	23:59:49
2017-09-21 08:15:30	16981	508	101703	5469	0	50306	5094	No signal	No signal	No signal	23:59:49
2017-09-21 08:16:33	17088	51093	1016958	53782	0	50762	4576	No signal	No signal	No signal	23:59:49
2017-09-21 08:17:30	1716	51317	1016997	5467	0	50306	3309	No signal	No signal	No signal	23:59:49
2017-09-21 08:18:30	17267	51278	1017034	54659	0	4972	3309	No signal	No signal	No signal	23:59:49
2017-09-21 08:19:30	1733	50994	1017005	50988	0	50033	3564	No signal	No signal	No signal	23:59:49
2017-09-21 08:20:30	17392	50798	1016999	44499	0	49304	6228	No signal	No signal	No signal	23:59:49
2017-09-21 08:21:32	17392	50135	1017005	40354	0	48574	6095	No signal	No signal	No signal	23:59:49
2017-09-21 08:22:30	17437	50606	1016906	40206	0	47845	5295	No signal	No signal	No signal	23:59:49
2017-09-21 08:23:30	17508	51118	1016928	39606	0	47845	6178	No signal	No signal	No signal	00:00:15
2017-09-21 08:24:30	17589	51379	1016927	36748	0	48574	5497	No signal	No signal	No signal	23:59:49
2017-09-21 08:25:30	17696	5147	1016943	3562	0	49486	5204	No signal	No signal	No signal	23:59:49
2017-09-21 08:26:31	17804	51475	1016943	35248	0	49865	477	No signal	No signal	No signal	23:59:49
2017-09-21 08:27:30	17947	51313	1016958	3562	0	49486	5204	No signal	No signal	No signal	23:59:49
2017-09-21 08:28:30	18036	51165	1016897	35083	0	49635	5204	No signal	No signal	No signal	23:59:49
2017-09-21 08:29:30	18152	51137	1016892	34489	0	49814	5654	No signal	No signal	No signal	23:59:49
2017-09-21 08:30:30	18251	50957	1016879	33824	0	50033	6282	No signal	No signal	No signal	23:59:49
2017-09-21 08:31:30	18376	50668	1016873	33642	0	50033	5387	No signal	No signal	No signal	23:59:49
2017-09-21 08:32:30	18492	50623	1016858	33839	0	50762	4788	No signal	No signal	No signal	23:59:49
2017-09-21 08:33:30	18582	50502	1016789	33839	0	51127	5387	No signal	No signal	No signal	23:59:49
2017-09-21 08:34:30	18689	50628	1016779	3366	0	51596	4652	No signal	No signal	No signal	23:59:49
2017-09-21 08:35:30	18788	51145	1016751	33458	0	51127	3363	No signal	No signal	No signal	23:59:49
